Geographic Area,County,State,Abbreviation,2019 Population _ Census
"Dallas County, Iowa",Dallas, Iowa, IowaDallas,93453
"Davis County, Iowa",Davis, Iowa, IowaDavis,9000
"Decatur County, Iowa",Decatur, Iowa, IowaDecatur,7870
"Delaware County, Iowa",Delaware, Iowa, IowaDelaware,17011
"Des Moines County, Iowa",Des, Iowa, IowaDes,38967
"Dickinson County, Iowa",Dickinson, Iowa, IowaDickinson,17258
"Dubuque County, Iowa",Dubuque, Iowa, IowaDubuque,97311
"Emmet County, Iowa",Emmet, Iowa, IowaEmmet,9208
"Fayette County, Iowa",Fayette, Iowa, IowaFayette,19650
"Floyd County, Iowa",Floyd, Iowa, IowaFloyd,15642
"Franklin County, Iowa",Franklin, Iowa, IowaFranklin,10070
"Fremont County, Iowa",Fremont, Iowa, IowaFremont,6960
"Greene County, Iowa",Greene, Iowa, IowaGreene,8888
"Grundy County, Iowa",Grundy, Iowa, IowaGrundy,12232
"Guthrie County, Iowa",Guthrie, Iowa, IowaGuthrie,10689
"Hamilton County, Iowa",Hamilton, Iowa, IowaHamilton,14773
"Hancock County, Iowa",Hancock, Iowa, IowaHancock,10630
"Hardin County, Iowa",Hardin, Iowa, IowaHardin,16846
"Harrison County, Iowa",Harrison, Iowa, IowaHarrison,14049
"Henry County, Iowa",Henry, Iowa, IowaHenry,19954
"Howard County, Iowa",Howard, Iowa, IowaHoward,9158
"Humboldt County, Iowa",Humboldt, Iowa, IowaHumboldt,9558
"Ida County, Iowa",Ida, Iowa, IowaIda,6860
"Iowa County, Iowa",Iowa, Iowa, IowaIowa,16184
"Jackson County, Iowa",Jackson, Iowa, IowaJackson,19439
"Jasper County, Iowa",Jasper, Iowa, IowaJasper,37185
"Jefferson County, Iowa",Jefferson, Iowa, IowaJefferson,18295
"Johnson County, Iowa",Johnson, Iowa, IowaJohnson,151140
"Jones County, Iowa",Jones, Iowa, IowaJones,20681
"Keokuk County, Iowa",Keokuk, Iowa, IowaKeokuk,10246
"Kossuth County, Iowa",Kossuth, Iowa, IowaKossuth,14813
"Lee County, Iowa",Lee, Iowa, IowaLee,33657
"Linn County, Iowa",Linn, Iowa, IowaLinn,226706
"Louisa County, Iowa",Louisa, Iowa, IowaLouisa,11035
"Lucas County, Iowa",Lucas, Iowa, IowaLucas,8600
"Lyon County, Iowa",Lyon, Iowa, IowaLyon,11755
"Madison County, Iowa",Madison, Iowa, IowaMadison,16338
"Mahaska County, Iowa",Mahaska, Iowa, IowaMahaska,22095
"Marion County, Iowa",Marion, Iowa, IowaMarion,33253
"Marshall County, Iowa",Marshall, Iowa, IowaMarshall,39369
"Mills County, Iowa",Mills, Iowa, IowaMills,15109
"Mitchell County, Iowa",Mitchell, Iowa, IowaMitchell,10586
"Monona County, Iowa",Monona, Iowa, IowaMonona,8615
"Monroe County, Iowa",Monroe, Iowa, IowaMonroe,7707
"Montgomery County, Iowa",Montgomery, Iowa, IowaMontgomery,9917
"Muscatine County, Iowa",Muscatine, Iowa, IowaMuscatine,42664
"O'Brien County, Iowa",O'Brien, Iowa, IowaO'Brien,13753
"Osceola County, Iowa",Osceola, Iowa, IowaOsceola,5958
"Page County, Iowa",Page, Iowa, IowaPage,15107
"Palo Alto County, Iowa",Palo, Iowa, IowaPalo,8886
"Plymouth County, Iowa",Plymouth, Iowa, IowaPlymouth,25177
"Pocahontas County, Iowa",Pocahontas, Iowa, IowaPocahontas,6619
"Polk County, Iowa",Polk, Iowa, IowaPolk,490161
"Pottawattamie County, Iowa",Pottawattamie, Iowa, IowaPottawattamie,93206
"Poweshiek County, Iowa",Poweshiek, Iowa, IowaPoweshiek,18504
"Ringgold County, Iowa",Ringgold, Iowa, IowaRinggold,4894
"Sac County, Iowa",Sac, Iowa, IowaSac,9721
"Scott County, Iowa",Scott, Iowa, IowaScott,172943
"Shelby County, Iowa",Shelby, Iowa, IowaShelby,11454
"Sioux County, Iowa",Sioux, Iowa, IowaSioux,34855
"Story County, Iowa",Story, Iowa, IowaStory,97117
"Tama County, Iowa",Tama, Iowa, IowaTama,16854
"Taylor County, Iowa",Taylor, Iowa, IowaTaylor,6121
"Union County, Iowa",Union, Iowa, IowaUnion,12241
"Van Buren County, Iowa",Van, Iowa, IowaVan,7044
"Wapello County, Iowa",Wapello, Iowa, IowaWapello,34969
"Warren County, Iowa",Warren, Iowa, IowaWarren,51466
"Washington County, Iowa",Washington, Iowa, IowaWashington,21965
"Wayne County, Iowa",Wayne, Iowa, IowaWayne,6441
"Webster County, Iowa",Webster, Iowa, IowaWebster,35904
"Winnebago County, Iowa",Winnebago, Iowa, IowaWinnebago,10354
"Winneshiek County, Iowa",Winneshiek, Iowa, IowaWinneshiek,19991
"Woodbury County, Iowa",Woodbury, Iowa, IowaWoodbury,103107
"Worth County, Iowa",Worth, Iowa, IowaWorth,7381
"Wright County, Iowa",Wright, Iowa, IowaWright,12562
"Allen County, Kansas",Allen, Kansas, KansasAllen,12369
"Anderson County, Kansas",Anderson, Kansas, KansasAnderson,7858
"Atchison County, Kansas",Atchison, Kansas, KansasAtchison,16073
"Barber County, Kansas",Barber, Kansas, KansasBarber,4427
"Barton County, Kansas",Barton, Kansas, KansasBarton,25779
"Bourbon County, Kansas",Bourbon, Kansas, KansasBourbon,14534
"Brown County, Kansas",Brown, Kansas, KansasBrown,9564
"Butler County, Kansas",Butler, Kansas, KansasButler,66911
"Chase County, Kansas",Chase, Kansas, KansasChase,2648
"Chautauqua County, Kansas",Chautauqua, Kansas, KansasChautauqua,3250
"Cherokee County, Kansas",Cherokee, Kansas, KansasCherokee,19939
"Cheyenne County, Kansas",Cheyenne, Kansas, KansasCheyenne,2657
"Clark County, Kansas",Clark, Kansas, KansasClark,1994
"Clay County, Kansas",Clay, Kansas, KansasClay,8002
"Cloud County, Kansas",Cloud, Kansas, KansasCloud,8786
"Coffey County, Kansas",Coffey, Kansas, KansasCoffey,8179
"Comanche County, Kansas",Comanche, Kansas, KansasComanche,1700
"Cowley County, Kansas",Cowley, Kansas, KansasCowley,34908
"Crawford County, Kansas",Crawford, Kansas, KansasCrawford,38818
"Decatur County, Kansas",Decatur, Kansas, KansasDecatur,2827
"Dickinson County, Kansas",Dickinson, Kansas, KansasDickinson,18466
"Doniphan County, Kansas",Doniphan, Kansas, KansasDoniphan,7600
"Douglas County, Kansas",Douglas, Kansas, KansasDouglas,122259
"Edwards County, Kansas",Edwards, Kansas, KansasEdwards,2798
"Elk County, Kansas",Elk, Kansas, KansasElk,2530
"Ellis County, Kansas",Ellis, Kansas, KansasEllis,28553
"Ellsworth County, Kansas",Ellsworth, Kansas, KansasEllsworth,6102
"Finney County, Kansas",Finney, Kansas, KansasFinney,36467
"Ford County, Kansas",Ford, Kansas, KansasFord,33619
"Franklin County, Kansas",Franklin, Kansas, KansasFranklin,25544
"Geary County, Kansas",Geary, Kansas, KansasGeary,31670
"Gove County, Kansas",Gove, Kansas, KansasGove,2636
"Graham County, Kansas",Graham, Kansas, KansasGraham,2482
"Grant County, Kansas",Grant, Kansas, KansasGrant,7150
"Gray County, Kansas",Gray, Kansas, KansasGray,5988
"Greeley County, Kansas",Greeley, Kansas, KansasGreeley,1232
"Greenwood County, Kansas",Greenwood, Kansas, KansasGreenwood,5982
"Hamilton County, Kansas",Hamilton, Kansas, KansasHamilton,2539
"Harper County, Kansas",Harper, Kansas, KansasHarper,5436
"Harvey County, Kansas",Harvey, Kansas, KansasHarvey,34429
"Haskell County, Kansas",Haskell, Kansas, KansasHaskell,3968
"Hodgeman County, Kansas",Hodgeman, Kansas, KansasHodgeman,1794
"Jackson County, Kansas",Jackson, Kansas, KansasJackson,13171
"Jefferson County, Kansas",Jefferson, Kansas, KansasJefferson,19043
"Jewell County, Kansas",Jewell, Kansas, KansasJewell,2879
"Johnson County, Kansas",Johnson, Kansas, KansasJohnson,602401
"Kearny County, Kansas",Kearny, Kansas, KansasKearny,3838
"Kingman County, Kansas",Kingman, Kansas, KansasKingman,7152
"Kiowa County, Kansas",Kiowa, Kansas, KansasKiowa,2475
"Labette County, Kansas",Labette, Kansas, KansasLabette,19618
"Lane County, Kansas",Lane, Kansas, KansasLane,1535
"Leavenworth County, Kansas",Leavenworth, Kansas, KansasLeavenworth,81758
"Lincoln County, Kansas",Lincoln, Kansas, KansasLincoln,2962
"Linn County, Kansas",Linn, Kansas, KansasLinn,9703
"Logan County, Kansas",Logan, Kansas, KansasLogan,2794
"Lyon County, Kansas",Lyon, Kansas, KansasLyon,33195
"McPherson County, Kansas",McPherson, Kansas, KansasMcPherson,28542
"Marion County, Kansas",Marion, Kansas, KansasMarion,11884
"Marshall County, Kansas",Marshall, Kansas, KansasMarshall,9707
"Meade County, Kansas",Meade, Kansas, KansasMeade,4033
"Miami County, Kansas",Miami, Kansas, KansasMiami,34237
"Mitchell County, Kansas",Mitchell, Kansas, KansasMitchell,5979
"Montgomery County, Kansas",Montgomery, Kansas, KansasMontgomery,31829
"Morris County, Kansas",Morris, Kansas, KansasMorris,5620
"Morton County, Kansas",Morton, Kansas, KansasMorton,2587
"Nemaha County, Kansas",Nemaha, Kansas, KansasNemaha,10231
"Neosho County, Kansas",Neosho, Kansas, KansasNeosho,16007
"Ness County, Kansas",Ness, Kansas, KansasNess,2750
"Norton County, Kansas",Norton, Kansas, KansasNorton,5361
"Osage County, Kansas",Osage, Kansas, KansasOsage,15949
"Osborne County, Kansas",Osborne, Kansas, KansasOsborne,3421
"Ottawa County, Kansas",Ottawa, Kansas, KansasOttawa,5704
"Pawnee County, Kansas",Pawnee, Kansas, KansasPawnee,6414
"Phillips County, Kansas",Phillips, Kansas, KansasPhillips,5234
"Pottawatomie County, Kansas",Pottawatomie, Kansas, KansasPottawatomie,24383
"Pratt County, Kansas",Pratt, Kansas, KansasPratt,9164
"Rawlins County, Kansas",Rawlins, Kansas, KansasRawlins,2530
"Reno County, Kansas",Reno, Kansas, KansasReno,61998
"Republic County, Kansas",Republic, Kansas, KansasRepublic,4636
"Rice County, Kansas",Rice, Kansas, KansasRice,9537
"Riley County, Kansas",Riley, Kansas, KansasRiley,74232
"Rooks County, Kansas",Rooks, Kansas, KansasRooks,4920
"Rush County, Kansas",Rush, Kansas, KansasRush,3036
"Russell County, Kansas",Russell, Kansas, KansasRussell,6856
"Saline County, Kansas",Saline, Kansas, KansasSaline,54224
"Scott County, Kansas",Scott, Kansas, KansasScott,4823
"Sedgwick County, Kansas",Sedgwick, Kansas, KansasSedgwick,516042
"Seward County, Kansas",Seward, Kansas, KansasSeward,21428
"Shawnee County, Kansas",Shawnee, Kansas, KansasShawnee,176875
"Sheridan County, Kansas",Sheridan, Kansas, KansasSheridan,2521
"Sherman County, Kansas",Sherman, Kansas, KansasSherman,5917
"Smith County, Kansas",Smith, Kansas, KansasSmith,3583
"Stafford County, Kansas",Stafford, Kansas, KansasStafford,4156
"Stanton County, Kansas",Stanton, Kansas, KansasStanton,2006
"Stevens County, Kansas",Stevens, Kansas, KansasStevens,5485
"Sumner County, Kansas",Sumner, Kansas, KansasSumner,22836
"Thomas County, Kansas",Thomas, Kansas, KansasThomas,7777
"Trego County, Kansas",Trego, Kansas, KansasTrego,2803
"Wabaunsee County, Kansas",Wabaunsee, Kansas, KansasWabaunsee,6931
"Wallace County, Kansas",Wallace, Kansas, KansasWallace,1518
"Washington County, Kansas",Washington, Kansas, KansasWashington,5406
"Wichita County, Kansas",Wichita, Kansas, KansasWichita,2119
"Wilson County, Kansas",Wilson, Kansas, KansasWilson,8525
"Woodson County, Kansas",Woodson, Kansas, KansasWoodson,3138
"Wyandotte County, Kansas",Wyandotte, Kansas, KansasWyandotte,165429
"Adair County, Kentucky",Adair, Kentucky, KentuckyAdair,19202
"Allen County, Kentucky",Allen, Kentucky, KentuckyAllen,21315
"Anderson County, Kentucky",Anderson, Kentucky, KentuckyAnderson,22747
"Ballard County, Kentucky",Ballard, Kentucky, KentuckyBallard,7888
"Barren County, Kentucky",Barren, Kentucky, KentuckyBarren,44249
"Bath County, Kentucky",Bath, Kentucky, KentuckyBath,12500
"Bell County, Kentucky",Bell, Kentucky, KentuckyBell,26032
"Boone County, Kentucky",Boone, Kentucky, KentuckyBoone,133581
"Bourbon County, Kentucky",Bourbon, Kentucky, KentuckyBourbon,19788
"Boyd County, Kentucky",Boyd, Kentucky, KentuckyBoyd,46718
"Boyle County, Kentucky",Boyle, Kentucky, KentuckyBoyle,30060
"Bracken County, Kentucky",Bracken, Kentucky, KentuckyBracken,8303
"Breathitt County, Kentucky",Breathitt, Kentucky, KentuckyBreathitt,12630
"Breckinridge County, Kentucky",Breckinridge, Kentucky, KentuckyBreckinridge,20477
"Bullitt County, Kentucky",Bullitt, Kentucky, KentuckyBullitt,81676
"Butler County, Kentucky",Butler, Kentucky, KentuckyButler,12879
"Caldwell County, Kentucky",Caldwell, Kentucky, KentuckyCaldwell,12747
"Calloway County, Kentucky",Calloway, Kentucky, KentuckyCalloway,39001
"Campbell County, Kentucky",Campbell, Kentucky, KentuckyCampbell,93584
"Carlisle County, Kentucky",Carlisle, Kentucky, KentuckyCarlisle,4760
"Carroll County, Kentucky",Carroll, Kentucky, KentuckyCarroll,10631
"Carter County, Kentucky",Carter, Kentucky, KentuckyCarter,26797
"Casey County, Kentucky",Casey, Kentucky, KentuckyCasey,16159
"Christian County, Kentucky",Christian, Kentucky, KentuckyChristian,70461
"Clark County, Kentucky",Clark, Kentucky, KentuckyClark,36263
"Clay County, Kentucky",Clay, Kentucky, KentuckyClay,19901
"Clinton County, Kentucky",Clinton, Kentucky, KentuckyClinton,10218
"Crittenden County, Kentucky",Crittenden, Kentucky, KentuckyCrittenden,8806
"Cumberland County, Kentucky",Cumberland, Kentucky, KentuckyCumberland,6614
"Daviess County, Kentucky",Daviess, Kentucky, KentuckyDaviess,101511
"Edmonson County, Kentucky",Edmonson, Kentucky, KentuckyEdmonson,12150
"Elliott County, Kentucky",Elliott, Kentucky, KentuckyElliott,7517
"Estill County, Kentucky",Estill, Kentucky, KentuckyEstill,14106
"Fayette County, Kentucky",Fayette, Kentucky, KentuckyFayette,323152
"Fleming County, Kentucky",Fleming, Kentucky, KentuckyFleming,14581
"Floyd County, Kentucky",Floyd, Kentucky, KentuckyFloyd,35589
"Franklin County, Kentucky",Franklin, Kentucky, KentuckyFranklin,50991
"Fulton County, Kentucky",Fulton, Kentucky, KentuckyFulton,5969
"Gallatin County, Kentucky",Gallatin, Kentucky, KentuckyGallatin,8869
"Garrard County, Kentucky",Garrard, Kentucky, KentuckyGarrard,17666
"Grant County, Kentucky",Grant, Kentucky, KentuckyGrant,25069
"Graves County, Kentucky",Graves, Kentucky, KentuckyGraves,37266
"Grayson County, Kentucky",Grayson, Kentucky, KentuckyGrayson,26427
"Green County, Kentucky",Green, Kentucky, KentuckyGreen,10941
"Greenup County, Kentucky",Greenup, Kentucky, KentuckyGreenup,35098
"Hancock County, Kentucky",Hancock, Kentucky, KentuckyHancock,8722
"Hardin County, Kentucky",Hardin, Kentucky, KentuckyHardin,110958
"Harlan County, Kentucky",Harlan, Kentucky, KentuckyHarlan,26010
"Harrison County, Kentucky",Harrison, Kentucky, KentuckyHarrison,18886
"Hart County, Kentucky",Hart, Kentucky, KentuckyHart,19035
"Henderson County, Kentucky",Henderson, Kentucky, KentuckyHenderson,45210
"Henry County, Kentucky",Henry, Kentucky, KentuckyHenry,16126
"Hickman County, Kentucky",Hickman, Kentucky, KentuckyHickman,4380
"Hopkins County, Kentucky",Hopkins, Kentucky, KentuckyHopkins,44686
"Jackson County, Kentucky",Jackson, Kentucky, KentuckyJackson,13329
"Jefferson County, Kentucky",Jefferson, Kentucky, KentuckyJefferson,766757
"Jessamine County, Kentucky",Jessamine, Kentucky, KentuckyJessamine,54115
"Johnson County, Kentucky",Johnson, Kentucky, KentuckyJohnson,22188
"Kenton County, Kentucky",Kenton, Kentucky, KentuckyKenton,166998
"Knott County, Kentucky",Knott, Kentucky, KentuckyKnott,14806
"Knox County, Kentucky",Knox, Kentucky, KentuckyKnox,31145
"Larue County, Kentucky",Larue, Kentucky, KentuckyLarue,14398
"Laurel County, Kentucky",Laurel, Kentucky, KentuckyLaurel,60813
"Lawrence County, Kentucky",Lawrence, Kentucky, KentuckyLawrence,15317
"Lee County, Kentucky",Lee, Kentucky, KentuckyLee,7403
"Leslie County, Kentucky",Leslie, Kentucky, KentuckyLeslie,9877
"Letcher County, Kentucky",Letcher, Kentucky, KentuckyLetcher,21553
"Lewis County, Kentucky",Lewis, Kentucky, KentuckyLewis,13275
"Lincoln County, Kentucky",Lincoln, Kentucky, KentuckyLincoln,24549
"Livingston County, Kentucky",Livingston, Kentucky, KentuckyLivingston,9194
"Logan County, Kentucky",Logan, Kentucky, KentuckyLogan,27102
"Lyon County, Kentucky",Lyon, Kentucky, KentuckyLyon,8210
"McCracken County, Kentucky",McCracken, Kentucky, KentuckyMcCracken,65418
"McCreary County, Kentucky",McCreary, Kentucky, KentuckyMcCreary,17231
"McLean County, Kentucky",McLean, Kentucky, KentuckyMcLean,9207
"Madison County, Kentucky",Madison, Kentucky, KentuckyMadison,92987
"Magoffin County, Kentucky",Magoffin, Kentucky, KentuckyMagoffin,12161
"Marion County, Kentucky",Marion, Kentucky, KentuckyMarion,19273
"Marshall County, Kentucky",Marshall, Kentucky, KentuckyMarshall,31100
"Martin County, Kentucky",Martin, Kentucky, KentuckyMartin,11195
"Mason County, Kentucky",Mason, Kentucky, KentuckyMason,17070
"Meade County, Kentucky",Meade, Kentucky, KentuckyMeade,28572
"Menifee County, Kentucky",Menifee, Kentucky, KentuckyMenifee,6489
"Mercer County, Kentucky",Mercer, Kentucky, KentuckyMercer,21933
"Metcalfe County, Kentucky",Metcalfe, Kentucky, KentuckyMetcalfe,10071
"Monroe County, Kentucky",Monroe, Kentucky, KentuckyMonroe,10650
"Montgomery County, Kentucky",Montgomery, Kentucky, KentuckyMontgomery,28157
"Morgan County, Kentucky",Morgan, Kentucky, KentuckyMorgan,13309
"Muhlenberg County, Kentucky",Muhlenberg, Kentucky, KentuckyMuhlenberg,30622
"Nelson County, Kentucky",Nelson, Kentucky, KentuckyNelson,46233
"Nicholas County, Kentucky",Nicholas, Kentucky, KentuckyNicholas,7269
"Ohio County, Kentucky",Ohio, Kentucky, KentuckyOhio,23994
"Oldham County, Kentucky",Oldham, Kentucky, KentuckyOldham,66799
"Owen County, Kentucky",Owen, Kentucky, KentuckyOwen,10901
"Owsley County, Kentucky",Owsley, Kentucky, KentuckyOwsley,4415
"Pendleton County, Kentucky",Pendleton, Kentucky, KentuckyPendleton,14590
"Perry County, Kentucky",Perry, Kentucky, KentuckyPerry,25758
"Pike County, Kentucky",Pike, Kentucky, KentuckyPike,57876
"Powell County, Kentucky",Powell, Kentucky, KentuckyPowell,12359
"Pulaski County, Kentucky",Pulaski, Kentucky, KentuckyPulaski,64979
"Robertson County, Kentucky",Robertson, Kentucky, KentuckyRobertson,2108
"Rockcastle County, Kentucky",Rockcastle, Kentucky, KentuckyRockcastle,16695
"Rowan County, Kentucky",Rowan, Kentucky, KentuckyRowan,24460
"Russell County, Kentucky",Russell, Kentucky, KentuckyRussell,17923
"Scott County, Kentucky",Scott, Kentucky, KentuckyScott,57004
"Shelby County, Kentucky",Shelby, Kentucky, KentuckyShelby,49024
"Simpson County, Kentucky",Simpson, Kentucky, KentuckySimpson,18572
"Spencer County, Kentucky",Spencer, Kentucky, KentuckySpencer,19351
"Taylor County, Kentucky",Taylor, Kentucky, KentuckyTaylor,25769
"Todd County, Kentucky",Todd, Kentucky, KentuckyTodd,12294
"Trigg County, Kentucky",Trigg, Kentucky, KentuckyTrigg,14651
"Trimble County, Kentucky",Trimble, Kentucky, KentuckyTrimble,8471
"Union County, Kentucky",Union, Kentucky, KentuckyUnion,14381
"Warren County, Kentucky",Warren, Kentucky, KentuckyWarren,132896
"Washington County, Kentucky",Washington, Kentucky, KentuckyWashington,12095
"Wayne County, Kentucky",Wayne, Kentucky, KentuckyWayne,20333
"Webster County, Kentucky",Webster, Kentucky, KentuckyWebster,12942
"Whitley County, Kentucky",Whitley, Kentucky, KentuckyWhitley,36264
"Wolfe County, Kentucky",Wolfe, Kentucky, KentuckyWolfe,7157
"Woodford County, Kentucky",Woodford, Kentucky, KentuckyWoodford,26734
"Acadia Parish, Louisiana",Acadia, Louisiana, LouisianaAcadia,62045
"Allen Parish, Louisiana",Allen, Louisiana, LouisianaAllen,25627
"Ascension Parish, Louisiana",Ascension, Louisiana, LouisianaAscension,126604
"Assumption Parish, Louisiana",Assumption, Louisiana, LouisianaAssumption,21891
"Avoyelles Parish, Louisiana",Avoyelles, Louisiana, LouisianaAvoyelles,40144
"Beauregard Parish, Louisiana",Beauregard, Louisiana, LouisianaBeauregard,37497
"Bienville Parish, Louisiana",Bienville, Louisiana, LouisianaBienville,13241
"Bossier Parish, Louisiana",Bossier, Louisiana, LouisianaBossier,127039
"Caddo Parish, Louisiana",Caddo, Louisiana, LouisianaCaddo,240204
"Calcasieu Parish, Louisiana",Calcasieu, Louisiana, LouisianaCalcasieu,203436
"Caldwell Parish, Louisiana",Caldwell, Louisiana, LouisianaCaldwell,9918
"Cameron Parish, Louisiana",Cameron, Louisiana, LouisianaCameron,6973
"Catahoula Parish, Louisiana",Catahoula, Louisiana, LouisianaCatahoula,9494
"Claiborne Parish, Louisiana",Claiborne, Louisiana, LouisianaClaiborne,15670
"Concordia Parish, Louisiana",Concordia, Louisiana, LouisianaConcordia,19259
"De Soto Parish, Louisiana",De, Louisiana, LouisianaDe,27463
"East Baton Rouge Parish, Louisiana",East, Louisiana, LouisianaEast,440059
"East Carroll Parish, Louisiana",East, Louisiana, LouisianaEast,6861
"East Feliciana Parish, Louisiana",East, Louisiana, LouisianaEast,19135
"Evangeline Parish, Louisiana",Evangeline, Louisiana, LouisianaEvangeline,33395
"Franklin Parish, Louisiana",Franklin, Louisiana, LouisianaFranklin,20015
"Grant Parish, Louisiana",Grant, Louisiana, LouisianaGrant,22389
"Iberia Parish, Louisiana",Iberia, Louisiana, LouisianaIberia,69830
"Iberville Parish, Louisiana",Iberville, Louisiana, LouisianaIberville,32511
"Jackson Parish, Louisiana",Jackson, Louisiana, LouisianaJackson,15744
"Jefferson Parish, Louisiana",Jefferson, Louisiana, LouisianaJefferson,432493
"Jefferson Davis Parish, Louisiana",Jefferson, Louisiana, LouisianaJefferson,31368
"Lafayette Parish, Louisiana",Lafayette, Louisiana, LouisianaLafayette,244390
"Lafourche Parish, Louisiana",Lafourche, Louisiana, LouisianaLafourche,97614
"LaSalle Parish, Louisiana",LaSalle, Louisiana, LouisianaLaSalle,14892
"Lincoln Parish, Louisiana",Lincoln, Louisiana, LouisianaLincoln,46742
"Livingston Parish, Louisiana",Livingston, Louisiana, LouisianaLivingston,140789
"Madison Parish, Louisiana",Madison, Louisiana, LouisianaMadison,10951
"Morehouse Parish, Louisiana",Morehouse, Louisiana, LouisianaMorehouse,24874
"Natchitoches Parish, Louisiana",Natchitoches, Louisiana, LouisianaNatchitoches,38158
"Orleans Parish, Louisiana",Orleans, Louisiana, LouisianaOrleans,390144
"Ouachita Parish, Louisiana",Ouachita, Louisiana, LouisianaOuachita,153279
"Plaquemines Parish, Louisiana",Plaquemines, Louisiana, LouisianaPlaquemines,23197
"Pointe Coupee Parish, Louisiana",Pointe, Louisiana, LouisianaPointe,21730
"Rapides Parish, Louisiana",Rapides, Louisiana, LouisianaRapides,129648
"Red River Parish, Louisiana",Red, Louisiana, LouisianaRed,8442
"Richland Parish, Louisiana",Richland, Louisiana, LouisianaRichland,20122
"Sabine Parish, Louisiana",Sabine, Louisiana, LouisianaSabine,23884
"St Bernard Parish, Louisiana",St, Louisiana, LouisianaSt,47244
"St Charles Parish, Louisiana",St, Louisiana, LouisianaSt,53100
"St Helena Parish, Louisiana",St, Louisiana, LouisianaSt,10132
"St James Parish, Louisiana",St, Louisiana, LouisianaSt,21096
"St John the Baptist Parish, Louisiana",St, Louisiana, LouisianaSt,42837
"St Landry Parish, Louisiana",St, Louisiana, LouisianaSt,82124
"St Martin Parish, Louisiana",St, Louisiana, LouisianaSt,53431
"St Mary Parish, Louisiana",St, Louisiana, LouisianaSt,49348
"St Tammany Parish, Louisiana",St, Louisiana, LouisianaSt,260419
"Tangipahoa Parish, Louisiana",Tangipahoa, Louisiana, LouisianaTangipahoa,134758
"Tensas Parish, Louisiana",Tensas, Louisiana, LouisianaTensas,4334
"Terrebonne Parish, Louisiana",Terrebonne, Louisiana, LouisianaTerrebonne,110461
"Union Parish, Louisiana",Union, Louisiana, LouisianaUnion,22108
"Vermilion Parish, Louisiana",Vermilion, Louisiana, LouisianaVermilion,59511
"Vernon Parish, Louisiana",Vernon, Louisiana, LouisianaVernon,47429
"Washington Parish, Louisiana",Washington, Louisiana, LouisianaWashington,46194
"Webster Parish, Louisiana",Webster, Louisiana, LouisianaWebster,38340
"West Baton Rouge Parish, Louisiana",West, Louisiana, LouisianaWest,26465
"West Carroll Parish, Louisiana",West, Louisiana, LouisianaWest,10830
"West Feliciana Parish, Louisiana",West, Louisiana, LouisianaWest,15568
"Winn Parish, Louisiana",Winn, Louisiana, LouisianaWinn,13904
"Androscoggin County, Maine",Androscoggin, Maine, MaineAndroscoggin,108277
"Aroostook County, Maine",Aroostook, Maine, MaineAroostook,67055
"Cumberland County, Maine",Cumberland, Maine, MaineCumberland,295003
"Franklin County, Maine",Franklin, Maine, MaineFranklin,30199
"Hancock County, Maine",Hancock, Maine, MaineHancock,54987
"Kennebec County, Maine",Kennebec, Maine, MaineKennebec,122302
"Knox County, Maine",Knox, Maine, MaineKnox,39772
"Lincoln County, Maine",Lincoln, Maine, MaineLincoln,34634
"Oxford County, Maine",Oxford, Maine, MaineOxford,57975
"Penobscot County, Maine",Penobscot, Maine, MainePenobscot,152148
"Piscataquis County, Maine",Piscataquis, Maine, MainePiscataquis,16785
"Sagadahoc County, Maine",Sagadahoc, Maine, MaineSagadahoc,35856
"Somerset County, Maine",Somerset, Maine, MaineSomerset,50484
"Waldo County, Maine",Waldo, Maine, MaineWaldo,39715
"Washington County, Maine",Washington, Maine, MaineWashington,31379
"York County, Maine",York, Maine, MaineYork,207641
"Allegany County, Maryland",Allegany, Maryland, MarylandAllegany,70416
"Anne Arundel County, Maryland",Anne, Maryland, MarylandAnne,579234
"Baltimore County, Maryland",Baltimore, Maryland, MarylandBaltimore,827370
"Calvert County, Maryland",Calvert, Maryland, MarylandCalvert,92525
"Caroline County, Maryland",Caroline, Maryland, MarylandCaroline,33406
"Carroll County, Maryland",Carroll, Maryland, MarylandCarroll,168447
"Cecil County, Maryland",Cecil, Maryland, MarylandCecil,102855
"Charles County, Maryland",Charles, Maryland, MarylandCharles,163257
"Dorchester County, Maryland",Dorchester, Maryland, MarylandDorchester,31929
"Frederick County, Maryland",Frederick, Maryland, MarylandFrederick,259547
"Garrett County, Maryland",Garrett, Maryland, MarylandGarrett,29014
"Harford County, Maryland",Harford, Maryland, MarylandHarford,255441
"Howard County, Maryland",Howard, Maryland, MarylandHoward,325690
"Kent County, Maryland",Kent, Maryland, MarylandKent,19422
"Montgomery County, Maryland",Montgomery, Maryland, MarylandMontgomery,1050688
"Prince George's County, Maryland",Prince, Maryland, MarylandPrince,909327
"Queen Anne's County, Maryland",Queen, Maryland, MarylandQueen,50381
"St Mary's County, Maryland",St, Maryland, MarylandSt,113510
"Somerset County, Maryland",Somerset, Maryland, MarylandSomerset,25616
"Talbot County, Maryland",Talbot, Maryland, MarylandTalbot,37181
"Washington County, Maryland",Washington, Maryland, MarylandWashington,151049
"Wicomico County, Maryland",Wicomico, Maryland, MarylandWicomico,103609
"Worcester County, Maryland",Worcester, Maryland, MarylandWorcester,52276
